User,Category,Amount,Timestamp
Suzi Clark,Currency Exchange,10,01/03/2021
Suzi Clark,Currency Exchange,100,1/25/21
Suzi Clark,Currency Exchange,20,01/10/2021
Suzi Clark,Currency Exchange,10,03/06/2021
Tomas Leon,Currency Exchange,10,01/05/2021
Tomas Leon,Currency Exchange,10,3/13/21
Tomas Leon,Currency Exchange,10,3/31/21
Tomas Leon,Currency Exchange,100,3/20/21
Amy Houseman,Currency Exchange,10,1/26/21
Amy Houseman,Currency Exchange,10,2/17/21
Amy Houseman,Currency Exchange,10,2/15/21
Amy Houseman,Currency Exchange,200,2/21/21
Mohana Medisetty,Currency Exchange,10,01/03/2021
Mohana Medisetty,Currency Exchange,10,02/10/2021
Mohana Medisetty,Currency Exchange,100,3/19/21
Mohana Medisetty,Currency Exchange,10,03/06/2021
Suzi Clark,General Store,5.174781244,3/28/21
Suzi Clark,General Store,18.9153993,1/23/21
Tomas Leon,General Store,11.94325564,01/11/2021
Tomas Leon,General Store,2.226500806,1/17/21
Tomas Leon,General Store,4.774739028,2/14/21
Tomas Leon,General Store,0.969841013,2/22/21
Amy Houseman,General Store,3.883007058,2/23/21
Amy Houseman,General Store,0.902745767,01/03/2021
Amy Houseman,General Store,10.1564983,2/20/21
Amy Houseman,General Store,11.81766172,3/19/21
Mohana Medisetty,General Store,17.96465125,3/26/21
Mohana Medisetty,General Store,5.869066192,01/12/2021
Mohana Medisetty,General Store,13.15028879,3/17/21
Mohana Medisetty,General Store,11.89340934,3/18/21
Mohana Medisetty,General Store,5.777514444,1/22/21
Mohana Medisetty,General Store,11.17083403,03/12/2021
Mohana Medisetty,General Store,10.37753153,2/13/21
Rachel McKee,General Store,11.80346835,3/20/21
Rachel McKee,General Store,6.932197368,1/14/21
Rachel McKee,General Store,17.5457452,03/09/2021
Rachel McKee,General Store,5.571983227,2/16/21
Rachel McKee,General Store,13.18855621,02/08/2021
Rachel McKee,General Store,9.419854205,02/02/2021
Rachel McKee,General Store,11.1203526,02/03/2021
Rachel McKee,General Store,15.26882335,03/08/2021
Rachel McKee,General Store,0.761447139,2/23/21
Rachel McKee,General Store,18.86329665,01/07/2021
Rachel McKee,General Store,11.74731,03/05/2021
Paola Chicaiza,General Store,2.406764447,1/23/21
Paola Chicaiza,General Store,19.12921536,3/19/21
Paola Chicaiza,General Store,6.386806005,01/06/2021
Paola Chicaiza,General Store,11.88219872,02/03/2021
Paola Chicaiza,General Store,2.958392637,3/19/21
Paola Chicaiza,General Store,12.19630819,1/27/21
Paola Chicaiza,General Store,8.24409198,3/18/21
Paola Chicaiza,General Store,4.813821281,01/06/2021
Paola Chicaiza,General Store,3.734459948,03/08/2021
Paola Chicaiza,General Store,10.23717865,1/19/21
Paola Chicaiza,General Store,11.61451837,2/21/21
Paola Chicaiza,General Store,14.97813785,3/26/21
Amy Houseman,Hotel,225.1201036,03/07/2021
Amy Houseman,Hotel,62.2730007,3/24/21
Mohana Medisetty,Hotel,384.6839503,2/25/21
Mohana Medisetty,Hotel,334.9006789,03/09/2021
Suzi Clark,Jewelry,1000,1/28/21
Mohana Medisetty,Jewelry,50,01/11/2021
Suzi Clark,Loan,50,01/10/2021
Suzi Clark,Loan,50,02/10/2021
Suzi Clark,Loan,50,03/10/2021
Suzi Clark,Loan,10,01/05/2021
Suzi Clark,Loan,10,02/05/2021
Suzi Clark,Loan,10,03/05/2021
Paola Chicaiza,Loan,5,01/01/2021
Paola Chicaiza,Loan,5,02/01/2021
Paola Chicaiza,Loan,5,03/01/2021
